Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Ekaterina Stefanova Dafovska (-Prodanova),F,22.0,163.0,54.0,Bulgaria,BUL,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Women's 15 kilometres,Gold
Barry Edward Dagger,M,47.0,147.0,41.0,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze
"Timothy Patrick ""Tim"" Daggett",M,22.0,165.0,66.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,Gold
"Timothy Patrick ""Tim"" Daggett",M,22.0,165.0,66.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
Mustafa Dastanl,M,25.0,168.0,62.0,Turkey,TUR,1956 Summer,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
Mustafa Dastanl,M,28.0,168.0,62.0,Turkey,TUR,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
tienne Dagon,M,23.0,179.0,74.0,Switzerland,SUI,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
Aslaug Magna Dahl,F,22.0,170.0,52.0,Norway,NOR,1972 Winter,1972,Winter,Sapporo,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
Kevin Curtis Dahl,M,23.0,180.0,86.0,Canada,CAN,1992 Winter,1992,Winter,Albertville,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Anna Viktoria Dahlberg-Olsson,F,29.0,165.0,60.0,Sweden,SWE,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's Team Sprint,Gold
Dan Anders Hkan Dahlby,M,46.0,185.0,95.0,Sweden,SWE,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Double Trap,Silver
Mona Dahle (-Sivertsen),F,21.0,168.0,63.0,Norway,NOR,1992 Summer,1992,Summer,Barcelona,Handball,Handball Women's Handball,Silver
